t,angle,setpoint,sp_goal,dq,a_hat,tau_dyn,tau_cmd,tau_load,tau_f_exp,bias_u,Fx,Fy,Fz,Mx,My,Mz,pos_err,rot_err,risk_act,risk_err,risk,J_est,D_est,b0,b1,b2,b3,b4
0.0,0.0,0.0010471975511965978,0.6981317007977318,0.0,0.0,0.0,0.2220163528291907,0.0,0.0,1.0471975511965979e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.005,6.93801102591221e-05,0.0020943951023931957,0.6981317007977318,0.013876022051824418,0.5550408820729767,0.05550408820729768,0.21989439021853735,0.0,0.0,3.0722125433306714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.01,-0.0007046142010384191,0.0031415926535897937,0.6981317007977318,-0.15479886225950823,-6.302962666794924,-0.6280761031512005,0.41046203894834593,0.0,0.0,6.918419397958884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.015,-0.0007639448666247479,0.004188790204786391,0.6981317007977318,-0.011866133117265754,0.674939032253759,0.04450221608648811,0.2808571757582127,0.0,0.0,0.00011871154469370024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.02,0.00018442559936854112,0.005235987755982989,0.6981317007977318,0.1896740931986578,8.60156027843995,0.8398640968341222,0.08055339008629499,0.0,0.0,0.00016922716625984472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.025,0.0005634677778992973,0.006283185307179587,0.6981317007977318,0.07580843570615124,2.3266219230516976,0.2467765024090568,0.20249410922608443,0.0,0.0,0.0002264243415526476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.030000000000000002,0.0004001164495889407,0.007330382858376184,0.6981317007977318,-0.03267026566207132,-2.477850516287544,-0.2243642538326606,0.3255686998124783,0.0,0.0,0.00029572700564052003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.035,0.001147982024940979,0.008377580409572783,0.6981317007977318,0.14957311507040766,5.307454816269123,0.544254877357856,0.1469895987739804,0.0,0.0,0.0003680229894868381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.04,0.0013561713645167338,0.009424777960769381,0.6981317007977318,0.041637867915150964,-0.07144603319496845,0.027594611676523297,0.2650736305346497,0.0,0.0,0.00044870905544936454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.045,0.0008931395043504967,0.01047197551196598,0.6981317007977318,-0.09260637203324741,-5.42692642449191,-0.5082392115859508,0.4175364117794783,0.0,0.0,0.0005444974155255194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.049999999999999996,0.0011422559808279297,0.011519173063162578,0.6981317007977318,0.04982329529548658,1.3556455535558314,0.1483102805208558,0.28478748651819763,0.0,0.0,0.0006482665863488659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.05499999999999999,0.0007750322786294042,0.012566370614359177,0.6981317007977318,-0.07344474043970511,-3.8462049865630035,-0.3664521912768044,0.4251464906774881,0.0,0.0,0.0007661799697061636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.05999999999999999,0.0011501859079859288,0.013613568165555775,0.6981317007977318,0.07503072587130494,2.86205466319,0.288988953752244,0.2848601852511346,0.0,0.0,0.0008908137922818621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.06499999999999999,0.0010063359903384637,0.014660765716752374,0.6981317007977318,-0.028769983529493004,-1.8623846454799171,-0.17200675846198776,0.4030900085753255,0.0,0.0,0.0010273580895460012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.06999999999999999,0.0018219121851159195,0.01570796326794897,0.6981317007977318,0.16311523895549115,6.1855011830154325,0.6253322858056276,0.21412310287819936,0.0,0.0,0.0011662186003743317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.075,0.002114689102813919,0.01675516081914557,0.6981317007977318,0.05855538353959991,0.7660067297766968,0.10812484521381568,0.3278824106132371,0.0,0.0,0.0013126233175376483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.08,0.0018469240383615741,0.017802358370342167,0.6981317007977318,-0.05355301289046903,-3.8715304733813998,-0.35256484818288725,0.45592991277441314,0.0,0.0,0.0014721776608574541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.085,0.0024038593343020647,0.018849555921538766,0.6981317007977318,0.11138705918809806,3.5003785044375637,0.36913992770548354,0.2970374447247917,0.0,0.0,0.0016366346267298211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.09000000000000001,0.0024734611377469607,0.019896753472735364,0.6981317007977318,0.013920360688979186,-1.0983651364147038,-0.07673292236199294,0.40640952512028095,0.0,0.0,0.0018108675500797052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.09500000000000001,0.0017554371779782232,0.020943951023931963,0.6981317007977318,-0.14360479195374748,-7.17969821484083,-0.6892596907502644,0.5853092210330512,0.0,0.0,0.0020027526885392426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.10000000000000002,0.001801225880379007,0.02199114857512856,0.6981317007977318,0.009157740480156745,0.36674272548350473,0.03666561042280578,0.4447654940116442,0.0,0.0,0.0022046519154867382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.10500000000000002,0.0010570744778220795,0.02303834612632516,0.6981317007977318,-0.1488302805113855,-6.026126659274887,-0.6011543571510993,0.6244695151647138,0.0,0.0,0.002424464631971769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.11000000000000003,0.0010910186092308453,0.02408554367752176,0.6981317007977318,0.006788826281753146,1.4038629443056365,0.11774009656985344,0.48123939465971205,0.0,0.0,0.002654409882654678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.11500000000000003,0.00034206312079456585,0.025132741228718357,0.6981317007977318,-0.14979109768725588,-5.140106603315852,-0.5310414064150728,0.6596210618853948,0.0,0.0,0.0029023166637339158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.12000000000000004,0.0003832265977101759,0.026179938779914955,0.6981317007977318,0.008232695383122018,2.208866440162435,0.1832954715194924,0.5139276448282109,0.0,0.0,0.0031602837855559634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.12500000000000003,-0.0003445487761997504,0.027227136331111554,0.6981317007977318,-0.14555507478198526,-4.384417654474344,-0.46719747218353574,0.6892908069456695,0.0,0.0,0.0034360006366290765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
