t,angle,setpoint,sp_goal,dq,a_hat,tau_dyn,tau_cmd,tau_load,tau_f_exp,bias_u,Fx,Fy,Fz,Mx,My,Mz,pos_err,rot_err,risk_act,risk_err,risk,J_est,D_est,b0,b1,b2,b3,b4
0.0,0.0,0.0010471975511965978,0.6981317007977318,0.0,0.0,0.0,0.2220163528291907,0.0,0.0,1.0471975511965979e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.005,6.93801102591221e-05,0.0020943951023931957,0.6981317007977318,0.013876022051824418,0.5550408820729767,0.05550408820729768,0.21989439021853735,0.0,0.0,3.0722125433306714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.01,-0.0007048613676740787,0.0031415926535897937,0.6981317007977318,-0.15484829558664015,-6.304939999880202,-0.6282738364597282,0.4105144407467721,0.0,0.0,6.918666564594544e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.015,-0.0007618992907257419,0.004188790204786391,0.6981317007977318,-0.011407584610332644,0.6936764391481391,0.04636804744358501,0.2803740623563989,0.0,0.0,0.00011869356060106677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.02,0.00019278982999735748,0.005235987755982989,0.6981317007977318,0.19093782414461988,8.648757501516613,0.844650859437025,0.07918918674638818,0.0,0.0,0.0001691255398609231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.025,0.0005767122320789091,0.006283185307179587,0.6981317007977318,0.07678448041631034,2.3528722520809087,0.24965736449952097,0.20135889699482928,0.0,0.0,0.00022619027061192987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.030000000000000002,0.0004178407550909205,0.007330382858376184,0.6981317007977318,-0.03177429539759771,-2.460053230891595,-0.22222369478940576,0.3244596265679852,0.0,0.0,0.0002953156916447825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.035,0.0011740624645755838,0.008377580409572783,0.6981317007977318,0.15124434189693264,5.352702907067938,0.5492117060829812,0.14500473455344806,0.0,0.0,0.0003673508710947545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.04,0.0013853672012631862,0.009424777960769381,0.6981317007977318,0.042260947337520505,-0.07717345672213582,0.027634881332245544,0.2640992369945632,0.0,0.0,0.00044774497868981645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.045,0.0009240625781889927,0.01047197551196598,0.6981317007977318,-0.0922609246148387,-5.442613643472077,-0.5092178311696371,0.4168186141675097,0.0,0.0,0.0005432241080275864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.049999999999999996,0.0011715960848127538,0.011519173063162578,0.6981317007977318,0.04950670132475224,1.3166141228059756,0.14493449088427984,0.28475043253257626,0.0,0.0,0.0006466998778110846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.05499999999999999,0.0007968182754708505,0.012566370614359177,0.6981317007977318,-0.07495556186838068,-3.925199229480536,-0.3739803878531474,0.42639409557556013,0.0,0.0,0.0007643954011999678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.05999999999999999,0.0011584489012530339,0.013613568165555775,0.6981317007977318,0.07232612515643666,2.751108097408265,0.2779495479178105,0.2874637628483588,0.0,0.0,0.0008889465938429952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.06499999999999999,0.000991327084696836,0.014660765716752374,0.6981317007977318,-0.03342436331123956,-2.029133060780437,-0.1890701355114266,0.40792277811538913,0.0,0.0,0.0010256409801635506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.06999999999999999,0.0017521184214279555,0.01570796326794897,0.6981317007977318,0.1521582673462239,5.799998777674189,0.5857265160909142,0.2259165804799766,0.0,0.0,0.0011651994286287607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.075,0.001990344080631847,0.01675516081914557,0.6981317007977318,0.04764513184077826,0.459473601921526,0.0748739936263447,0.3402850268567199,0.0,0.0,0.001312847596013898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.08,0.0016092458920999987,0.017802358370342167,0.6981317007977318,-0.07621963770636962,-4.587011900348695,-0.4279366621929913,0.48145127640539154,0.0,0.0,0.0014747787207963197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.085,0.001975231457575663,0.018849555921538766,0.6981317007977318,0.07319711309513284,2.307060511781143,0.24312253141859774,0.3403778126771799,0.0,0.0,0.0016435219654359508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.09000000000000001,0.001827336694093294,0.019896753472735364,0.6981317007977318,-0.029578952696473815,-2.2653942222393515,-0.2048946999363272,0.45767568041272055,0.0,0.0,0.0018242161332223715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.09500000000000001,0.0026434480554896286,0.020943951023931963,0.6981317007977318,0.1632222722792669,5.899733621238147,0.6025565075224653,0.26783049474426746,0.0,0.0,0.002007221162906795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.10000000000000002,0.0029431760379788913,0.02199114857512856,0.6981317007977318,0.05994559649785254,0.5887198657339434,0.09505406645699752,0.38026728507554136,0.0,0.0,0.0021977008882782915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.10500000000000002,0.0026932889336909933,0.02303834612632516,0.6981317007977318,-0.04997742085757957,-3.9259448016301306,-0.3540575208164741,0.5059587688687137,0.0,0.0,0.0024011514602046333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.11000000000000003,0.0032920917810113554,0.02408554367752176,0.6981317007977318,0.11976056946407244,3.6487637715619754,0.387709557296216,0.3418094495125417,0.0,0.0,0.002609085979169737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.11500000000000003,0.0034042047677107353,0.025132741228718357,0.6981317007977318,0.022422597339875935,-0.9745078677182799,-0.06002255154556164,0.4505857217753149,0.0,0.0,0.0028263713437798135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.12000000000000004,0.0027692268699613283,0.026179938779914955,0.6981317007977318,-0.12699557954988144,-6.756333369764921,-0.6421031332210988,0.6204241111715239,0.0,0.0,0.0030604784628793496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.12500000000000003,0.0028943919294769495,0.027227136331111554,0.6981317007977318,0.025033011903124264,0.6760769623082918,0.07411256650716276,0.47970323706270623,0.0,0.0,0.0033038059068956956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
