t,angle,setpoint,sp_goal,dq,a_hat,tau_dyn,tau_cmd,tau_load,tau_f_exp,bias_u,Fx,Fy,Fz,Mx,My,Mz,pos_err,rot_err,risk_act,risk_err,risk,J_est,D_est,b0,b1,b2,b3,b4
0.0,0.0,0.0010471975511965978,0.6981317007977318,0.0,0.0,0.0,0.008471889182521364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.005,2.647465369537926e-06,0.0020943951023931957,0.6981317007977318,0.0005294930739075853,0.02117972295630341,0.002117972295630341,0.013820096155614421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.01,-0.00044518577198669285,0.0031415926535897937,0.6981317007977318,-0.08956664747124615,-3.586901843441107,-0.3586054654522855,0.17812526037424256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.015,-0.0002511375255142218,0.004188790204786391,0.6981317007977318,0.03880964929449421,2.2655303958767288,0.21229015110573368,0.054851766497582014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.02,-0.0008097157727125431,0.005235987755982989,0.6981317007977318,-0.11171564943966425,-4.208587632664956,-0.42605953016492787,0.2905021597522495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.025,-0.0006979299459708767,0.006283185307179587,0.6981317007977318,0.022357165348333263,1.9960424853879366,0.17756913110970154,0.17817766061377902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.030000000000000002,-0.0014009326365721987,0.007330382858376184,0.6981317007977318,-0.14060053812026438,-4.921474150433557,-0.5061983625308961,0.4488730272079759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.035,-0.0013778162134547352,0.008377580409572783,0.6981317007977318,0.0046232846234926794,1.871773589403436,0.15344051485106902,0.33291610636222435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.04,-0.0021821968625998817,0.009424777960769381,0.6981317007977318,-0.16087612982902927,-5.12255770657813,-0.5385055203894737,0.6345365593090672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
0.045,-0.0021954502348232228,0.01047197551196598,0.6981317007977318,-0.0026506744446682384,2.230972050111937,0.17635722445322038,0.49929992282580077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
